"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i have choose product so that i can order product","as user i want to choose product and add product to cart","SUCCESS","2023-05-08T15:27:52.385+07:00[Asia/Bangkok]","0.0","12.86"
"As a user i have choose product so that i can order product","as user i can see detail product","SUCCESS","2023-05-08T15:28:06.198+07:00[Asia/Bangkok]","0.0","8.66"
"As a user i have choose product so that i can order product","as user i want to order and pay product","SUCCESS","2023-05-08T15:28:15.663+07:00[Asia/Bangkok]","0.0","7.35"
